FEN,EVAL
4r1k1/1p4bp/p1b1Pp2/3p3p/1P1N4/8/P2N1PPP/4R1K1 w - - 0 23,147.0
4r1k1/1p4bp/p1b1Pp2/3p3p/1P1N4/5N2/P4PPP/4R1K1 b - - 1 23,138.0
4r1k1/1p4bp/p3Pp2/3p3p/bP1N4/5N2/P4PPP/4R1K1 w - - 2 24,132.0
4r1k1/1p4bp/p3Pp2/3p1N1p/bP6/5N2/P4PPP/4R1K1 b - - 3 24,139.0
4r1k1/1p4bp/p1b1Pp2/3p1N1p/1P6/5N2/P4PPP/4R1K1 w - - 4 25,231.0
4r1k1/1p4bp/p1b1Pp2/3p1N1p/1P1N4/8/P4PPP/4R1K1 b - - 5 25,272.0
4r1k1/1p4b1/p1b1Pp1p/3p1N1p/1P1N4/8/P4PPP/4R1K1 w - - 0 26,363.0
4r1k1/1p4b1/p1bNPp1p/3p3p/1P1N4/8/P4PPP/4R1K1 b - - 1 26,304.0
3r2k1/1p4b1/p1bNPp1p/3p3p/1P1N4/8/P4PPP/4R1K1 w - - 2 27,310.0
3r2k1/1p4b1/p1NNPp1p/3p3p/1P6/8/P4PPP/4R1K1 b - - 0 27,385.0
3r2k1/6b1/p1pNPp1p/3p3p/1P6/8/P4PPP/4R1K1 w - - 0 28,301.0
3r2k1/4P1b1/p1pN1p1p/3p3p/1P6/8/P4PPP/4R1K1 b - - 0 28,436.0
6k1/4P1b1/p1pr1p1p/3p3p/1P6/8/P4PPP/4R1K1 w - - 0 29,323.0
4Qbk1/8/p1pr1p1p/3p3p/1P6/8/P4PPP/4R1K1 w - - 1 30,637.0
5b1k/8/p1pr1pQp/3p3p/1P6/8/P4PPP/4R1K1 w - - 3 31,524.0
4Rb1k/8/p1pr1pQp/3p3p/1P6/8/P4PPP/6K1 b - - 4 31,643.0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,19.0
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,11.0
rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,10.0
rnbqkb1r/pppppppp/5n2/8/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 0 2,14.0
rnbqkb1r/pppp1ppp/4pn2/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3,22.0
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,12.0
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,20.0
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 4,12.0
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 0 5,27.0
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq - 1 5,18.0
rnbqkb1r/pp3ppp/2p1pn2/8/2pP4/5NP1/PP2PPBP/RNBQK2R w KQkq - 0 6,8.0
rnbqkb1r/pp3ppp/2p1pn2/4N3/2pP4/6P1/PP2PPBP/RNBQK2R b KQkq - 1 6,10.0
rnbqk2r/pp3ppp/2p1pn2/4N3/1bpP4/6P1/PP1BPPBP/RN1QK2R b KQkq - 3 7,20.0
